Title,Link
More than 100 people take a peek at Wanstead swimming pool proposals  ,http://www.ilfordrecorder.co.uk/news/residents-view-wanstead-pool-plans-1-5632341
Faces nightclub owner has ‘never seen anything like it’ after woman punched unconscious to the floor by man outside venue  ,http://www.ilfordrecorder.co.uk/news/crime-court/faces-nightclub-owner-shocked-by-woman-getting-knocked-out-1-5631967
Updated: Police remove cordon from area around Ilford car park after discovering ‘dead rough sleeper’  ,http://www.ilfordrecorder.co.uk/news/police-cordon-off-ilford-car-park-after-dead-person-discovered-1-5631031
Former employee claims Redbridge Council is using corrupt methods after her interview panel was made up of manager’s friends  ,http://www.ilfordrecorder.co.uk/news/former-employee-claims-council-was-using-corrupt-methods-1-5630739
Heavy rains force Seven Kings Library to close until further notice  ,http://www.ilfordrecorder.co.uk/news/seven-kings-library-closed-heavy-rains-1-5631525
Man hit by train at Goodmayes Station is in life-threatening condition  ,http://www.ilfordrecorder.co.uk/news/man-hit-train-goodmayes-station-life-threatening-1-5631380
Updated: Man hit by train at Goodmayes Station: Severe delays between Romford and Stratford  ,http://www.ilfordrecorder.co.uk/news/person-hit-by-train-service-suspended-1-5630918
Meet a Recorder reporter in Ilford town centre next Friday  ,http://www.ilfordrecorder.co.uk/news/aaron-walawalkar-reporter-surgery-ilford-town-centre-1-5630667
Seventh-day Adventists gather in Ilford to celebrate anniversary of their religion in Trinidad and Tobago  ,http://www.ilfordrecorder.co.uk/news/seventh-day-adventism-ilford-trinidad-tobago-1-5630231
Vigil held at Ilford peace monument to promote unity as violent crime skyrockets  ,http://www.ilfordrecorder.co.uk/news/ilford-peace-monument-vigil-1-5627299
Ilford’s first British Muslim astronaut awarded university fellowship for mental health work  ,http://www.ilfordrecorder.co.uk/news/education/ilford-s-first-british-muslim-astronaut-awarded-university-fellowship-for-mental-health-work-1-5629911
Aldborough Hatch coffee morning raises more than £400 for The Children’s Society  ,http://www.ilfordrecorder.co.uk/news/aldborough-hatch-charity-day-raises-more-than-400-for-the-children-s-hospice-1-5629883
Redbridge fifth most improved for food hygiene in the country  ,http://www.ilfordrecorder.co.uk/news/redbridge-fifth-most-improved-for-food-hygiene-1-5627206
"Recorder letters: Valentine Pub, Kenneth More show, Christchurch Green bench and Ilford Town centre  ",http://www.ilfordrecorder.co.uk/news/features/letters-from-ilford-recorder-readers-1-5623401
View from the house: Export campaign in September  ,http://www.ilfordrecorder.co.uk/news/features/ilford-recorder-opinion-iain-duncan-smith-mp-1-5623319
Taylor set for first league game in charge of Daggers  ,http://www.ilfordrecorder.co.uk/sport/football/dagenham-redbridge/daggers-boreham-wood-taylor-preview-1-5630647
West Ham’s battle for number one - Fabianski v Adrian  ,http://www.ilfordrecorder.co.uk/sport/football/west-ham/west-ham-1-5631998
Charity golf day at Loughton club  ,http://www.ilfordrecorder.co.uk/sport/loughton-to-host-charity-golf-day-1-5631024
Daggers bring in Goodliffe on loan from Wolves  ,http://www.ilfordrecorder.co.uk/sport/football/dagenham-redbridge/transfer-news-daggers-loan-goodliffe-wolves-1-5631982
Southend draw has boosted O’s belief according to centre back Coulson  ,http://www.ilfordrecorder.co.uk/sport/football/leyton-orient/josh-coulson-leyton-orient-southend-united-review-1-5631063
Ellis-Grewal delighted to see Wanstead return to winning ways  ,http://www.ilfordrecorder.co.uk/sport/cricket/wanstead-shenfield-ellis-grewal-review-1-5630652
Tavarasa left puzzled after latest defeat for Ilford  ,http://www.ilfordrecorder.co.uk/sport/cricket/ilford-hadleigh-tavarasa-review-1-5630651
Wanstead to host women’s soft ball cricket event  ,http://www.ilfordrecorder.co.uk/sport/cricket/wanstead-host-women-s-soft-ball-cricket-festival-1-5631023
"We are all in it together, says Orient midfielder Lawless  ",http://www.ilfordrecorder.co.uk/sport/football/leyton-orient/alex-lawless-leyton-orient-competition-1-5631008
Footballers invited to take part in trials for new team  ,http://www.ilfordrecorder.co.uk/sport/football/dominican-players-prospective-team-trials-1-5630649
Vitality World Cup: Dominant England ‘deserving winners’ over Ireland  ,http://www.ilfordrecorder.co.uk/sport/england-deserved-win-against-ireland-1-5630221
I Move London Relay movement breaks world record  ,http://www.ilfordrecorder.co.uk/sport/i-move-london-relay-event-breaks-world-record-1-5630008
Southend manager Powell delighted to see Demetriou impress back on old haunt  ,http://www.ilfordrecorder.co.uk/sport/football/leyton-orient/southend-united-leyton-orient-chris-powell-review-1-5629942
"Daggers assistant Harris happy to end pre-season with win, but knows it counts for little  ",http://www.ilfordrecorder.co.uk/sport/football/dagenham-redbridge/daggera-hemel-hempstead-town-harris-review-1-5629504
Edinburgh happy with Bonne and Alabi partnership heading into O’s league opener  ,http://www.ilfordrecorder.co.uk/sport/football/leyton-orient/justin-edinburgh-leyton-orient-macauley-bonne-james-alabi-1-5629648
"Dazzling dance show Jerry’s Girls opens at Kenneth More Theatre, Ilford, tonight!  ",http://www.ilfordrecorder.co.uk/news/jerry-s-girls-kenneth-more-theatre-1-5614789
BBC to record music show in Ilford  ,http://www.ilfordrecorder.co.uk/news/bbc-music-show-comes-to-ilford-1-5566425
"Guys and Dolls to open at the Kenneth More Theatre, Ilford  ",http://www.ilfordrecorder.co.uk/news/guys-and-dolls-opens-at-the-kenneth-more-theatre-ilford-1-5548089
Ilford singer who supported Ed Sheeran and Bastille launches her first album  ,http://www.ilfordrecorder.co.uk/entertainment/music/ilford-singer-who-supported-ed-sheeran-and-bastille-launches-album-1-5541209
Ilford woman who travelled on the Kindertransport shares her story with cast of theatre show  ,http://www.ilfordrecorder.co.uk/news/ilford-woman-who-travelled-on-the-kindertransport-shares-her-story-with-cast-of-theatre-show-1-5450210
Hornchurch DJ Andy C says Upminster’s We Are FSTVL is a great opportunity to see international acts  ,http://www.ilfordrecorder.co.uk/entertainment/music/hornchurch-dj-andy-c-says-upminster-s-we-are-festvl-is-a-geat-opportunity-to-see-international-acts-1-5437618
Berlin artist creates interactive sculpture in Ilford town centre to bring communities together  ,http://www.ilfordrecorder.co.uk/entertainment/berlin-artist-creates-interactive-sculpture-in-ilford-town-centre-to-bring-communities-together-1-5434070
A romance revived: historic former Redbridge cinema hosts Valentine’s movie night  ,http://www.ilfordrecorder.co.uk/news/heritage/a-romance-revived-historic-former-cinema-hosts-valentine-s-movie-night-1-5393583
High-energy musical comedy Hot Mikado to open at Kenneth More Theatre  ,http://www.ilfordrecorder.co.uk/news/high-energy-musical-comedy-hot-mikado-to-open-at-kenneth-more-theatre-1-5383699
Rekindling an old flame: Historic former cinema in Redbridge hosts Valentine’s movie night  ,http://www.ilfordrecorder.co.uk/news/heritage/rekindling-an-old-flame-historic-former-cinema-in-redbridge-hosts-valentine-s-movie-night-1-5372652
The magic of Aladdin comes to Gants Hill with Dragon Theatre panto  ,http://www.ilfordrecorder.co.uk/news/the-magic-of-aladdin-comes-to-gants-hill-with-dragon-theatre-panto-1-5357307
"Wanstead recording studio, Pink Bird, attracts rising stars  ",http://www.ilfordrecorder.co.uk/entertainment/big-names-and-rising-stars-land-at-pink-bird-recording-studio-1-5355700
What’s most likely to happen in 2018?  ,http://www.ilfordrecorder.co.uk/news/what-s-most-likely-to-happen-in-2018-1-5337237
How much do you remember about 2017?  ,http://www.ilfordrecorder.co.uk/news/how-much-do-you-remember-about-2017-1-5337230
Join In: Big food and drink quiz  ,http://www.ilfordrecorder.co.uk/news/big-food-and-drink-quiz-1-5330770
From Theresa May to Tokyo: Award-winning press photographer exhibits love of Asia in Wanstead  ,http://www.ilfordrecorder.co.uk/news/from-theresa-may-to-tokyo-award-winning-press-photographer-exhibits-love-of-asia-in-hometown-1-5462660
Volunteer litter-pickers collect 60 sackfuls of rubbish in Aldborough Hatch spring clean  ,http://www.ilfordrecorder.co.uk/news/volunteer-litter-pickers-collect-60-sackfuls-of-rubbish-in-aldborough-hatch-spring-clean-1-5460219
Police appeal to trace suspected football hooligans at West Ham v Burnley game  ,http://www.ilfordrecorder.co.uk/news/crime-court/police-appeal-to-trace-suspected-football-hooligans-at-west-ham-v-burnley-game-1-5457939
Pupils in Woodford Green dance for Sport Relief  ,http://www.ilfordrecorder.co.uk/news/pupils-in-woodford-green-dance-for-sport-relief-1-5453098
Redbridge Zoroastrians celebrate the coming of spring with feast at home of former mayor  ,http://www.ilfordrecorder.co.uk/news/redbridge-zoroastrians-celebrate-the-coming-of-spring-with-feast-at-home-of-former-mayor-1-5450676
Mayor of Redbridge’s Community Awards honours borough champions  ,http://www.ilfordrecorder.co.uk/news/mayor-of-redbridge-s-community-awards-honours-borough-champions-1-5448721
"Redbridge’s Got Talent raises more than £12,000 for the Mayor’s appeal  ",http://www.ilfordrecorder.co.uk/news/redbridge-s-got-talent-raises-more-than-12-000-for-the-mayor-s-appeal-1-5442464
Holi 2018: Clayhall primary school celebrate  ,http://www.ilfordrecorder.co.uk/news/holi-2018-clayhall-primary-school-celebrate-1-5434054
Reception class hatch chicks in their classroom in Gants Hill  ,http://www.ilfordrecorder.co.uk/news/education/reception-class-hatch-chicks-in-their-classroom-in-gants-hill-1-5431545
Holi 2018: Hindu community celebrate in Goodmayes  ,http://www.ilfordrecorder.co.uk/news/holi-2018-hindu-community-celebrate-in-goodmayes-1-5431119
It’s snow joke: Dog tries sledging in Clayhall  ,http://www.ilfordrecorder.co.uk/news/it-s-snow-joke-dog-tries-sledging-in-clayhall-1-5418556
Snowy scenes from around Redbridge as captured by Recorder readers  ,http://www.ilfordrecorder.co.uk/news/weather/snowy-scenes-from-around-redbridge-as-captured-by-recorder-readers-1-5413112
Celebrities turn up for re-opening of Robin’s pie and mash shop  ,http://www.ilfordrecorder.co.uk/news/celebrities-turn-up-for-re-opening-of-robin-s-pie-and-mash-shop-1-5406767
Valentines Parkrun celebrates seventh birthday  ,http://www.ilfordrecorder.co.uk/news/valentines-parkrun-celebrates-seventh-birthday-1-5402510
"Railway track walk through Newham, Redbridge, Barking and Dagenham and Havering raises £6,000 for Isla Caton’s cancer care  ",http://www.ilfordrecorder.co.uk/news/railway-track-walk-through-newham-redbridge-barking-and-dagenham-and-havering-raises-6-000-for-isla-caton-s-cancer-care-1-5400422
A romance revived: historic former Redbridge cinema hosts Valentine’s movie night  ,http://www.ilfordrecorder.co.uk/news/heritage/a-romance-revived-historic-former-cinema-hosts-valentine-s-movie-night-1-5393583
The power of words: hundreds unite in Redbridge to mark the Holocaust  ,http://www.ilfordrecorder.co.uk/news/heritage/the-power-of-words-hundreds-unite-in-redbridge-to-mark-the-holocaust-1-5371530
Do you recognise these items? Police appeal for owners of believed to be stolen goods recovered in Ilford  ,http://www.ilfordrecorder.co.uk/news/do-you-recognise-these-items-police-appeal-for-owners-of-believed-to-be-stolen-goods-recovered-in-ilford-1-5372769
Redbridge Primary School joins with Beal High School to tackle air pollution  ,http://www.ilfordrecorder.co.uk/news/redbridge-primary-school-joins-with-beal-high-school-to-tackle-air-pollution-1-5370770
The magic of Aladdin comes to Gants Hill with Dragon Theatre panto  ,http://www.ilfordrecorder.co.uk/news/the-magic-of-aladdin-comes-to-gants-hill-with-dragon-theatre-panto-1-5357307
"Interactive timeline: West Ham from the Boleyn to the Olympic Stadium  ",http://bit.ly/2bgjfRk
Shuropody Ilford reopens on High Road  ,http://www.ilfordrecorder.co.uk/news/shuropody-ilford-reopens-on-high-road-1-5512280
Property experts Sandra Davidson reveal their top tips for selling your home and adding value  ,http://www.ilfordrecorder.co.uk/news/features/sandra-davidson-reveals-their-top-tips-for-selling-a-property-and-adding-value-1-5464521
Guaranteed rent schemes: How they work for landlords  ,http://www.ilfordrecorder.co.uk/news/features/guaranteed-rent-how-it-works-for-london-landlords-1-5382604
Updated: Police remove cordon from area around Ilford car park after discovering ‘dead rough sleeper’  ,http://www.ilfordrecorder.co.uk/news/police-cordon-off-ilford-car-park-after-dead-person-discovered-1-5631031
Updated: Man hit by train at Goodmayes Station: Severe delays between Romford and Stratford  ,http://www.ilfordrecorder.co.uk/news/person-hit-by-train-service-suspended-1-5630918
Man hit by train at Goodmayes Station is in life-threatening condition  ,http://www.ilfordrecorder.co.uk/news/man-hit-train-goodmayes-station-life-threatening-1-5631380
Former employee claims Redbridge Council is using corrupt methods after her interview panel was made up of manager’s friends  ,http://www.ilfordrecorder.co.uk/news/former-employee-claims-council-was-using-corrupt-methods-1-5630739
Faces nightclub owner has ‘never seen anything like it’ after woman punched unconscious to the floor by man outside venue  ,http://www.ilfordrecorder.co.uk/news/crime-court/faces-nightclub-owner-shocked-by-woman-getting-knocked-out-1-5631967
